"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"0044367","25010",21,0,2,"04",25000
"0044482","25050",24,0,1,"09",18900
"0044525","25010",28,0,0,"02",0
"0044595","25010",16,0,2,"02",27200
"0044752","25020",21,0,3,"02",322000
"0044931","25010",11,0,1,"05",25520
"0044990","25110",0,1,1,"  ",0
"0045040","25010",10,0,0,"02",0
"0045088","25010",22,0,1,"02",26910
"0045095","25010",13,0,1,"02",10100
"0045107","25100",0,2,1,"  ",0
"0045193","25080",24,0,1,"04",95900
"0045309","25120",24,0,3,"07",21000
"0045347","25090",0,1,1,"  ",0
"0045709","25010",5,0,4,"02",43200
"0045753","25090",16,0,3,"04",20000
"0045831","25080",25,0,2,"04",80500
"0045949","25050",21,0,3,"02",95300
"0045966","25060",24,0,3,"02",149100
"0046004","25080",27,0,6,"04",62500
"0046150","25100",13,0,2,"02",241000
"0046206","25100",24,0,1,"04",65300
"0046289","25070",8,0,2,"02",105000
