SERIALNO,AGE,WRKLYR,INCTOT
2006000776430,43,1,15280.4784
2006000776430,13,0,NA
2006000776430,10,0,NA
2006000776982,24,1,11918.77315
2006000776982,28,1,12988.40664
2006000776982,26,1,12988.40664
2006000776982,26,1,15280.4784
2006000776982,25,1,10085.11574
2006000778922,47,2,0
2006000778922,49,1,61121.9136
2006000778922,12,0,NA
2006000779686,55,1,5500.972224
2006000779686,22,1,15280.4784
2006000781758,62,1,21094.70043
2006000781758,62,1,5676.697726
2006000785003,44,1,21239.86498
2006000785003,42,1,1757.255016
2006000785027,71,2,23761.14391
2006000785027,69,1,56537.77008
2006000786299,24,1,15280.4784
2006000791913,29,1,22920.7176
2006000791913,31,1,19100.598
2006000791913,0,0,NA
2006000792034,65,2,9626.701392
2006000792034,26,1,6723.410496
2006000795111,26,1,22920.7176
2006000795111,28,1,72582.2724
2006000804368,56,2,30560.9568
2006000804368,57,1,9168.28704
2006000804595,94,2,4584.14352
2006000806434,30,1,9473.896608
2006000806434,22,1,7334.629632
2006000808860,35,1,44313.38736
2006000808860,37,1,41257.29168
2006000808860,34,2,0
2006000809541,37,2,2826.888504
2006000811720,23,1,2292.07176
2006000813346,35,1,27504.86112
2006000813346,37,1,22920.7176
2006000818404,75,2,13599.62578
2006000818404,78,2,40416.86537
2006000821859,42,1,38201.196
2006000821859,36,1,19100.598
2006000821859,18,2,0
2006000821859,13,0,NA
2006000821859,16,2,0
2006000822643,62,2,6876.21528
2006000822891,24,1,4966.15548
2006000829514,37,1,34763.08836
2006000829514,37,1,7640.2392
2006000829514,13,0,NA
2006000829514,11,0,NA
2006000831199,94,2,12835.60186
2006000835973,34,1,16808.52624
2006000836476,38,1,4668.186151
2006000836476,39,2,11391.59665
2006000836476,8,0,-15279.71438
2006000836476,6,0,-15279.71438
2006000838724,64,1,18794.98843
2006000838895,47,1,11613.16358
2006000839065,40,1,114603.588
2006000839065,35,2,0
2006000839065,0,0,NA
2006000842307,32,1,36673.14816
2006000842307,30,1,35909.12424
2006000845807,29,1,8404.26312
2006000846409,79,2,18794.98843
2006000846433,24,1,26740.8372
